IMF_Num,Time_Steps,Batch_Size,Hidden_Dim,LR,Best100_RMSE,Best100_MAE,Best100_R2
4,96,16,64,0.001,1.036115977756418,0.7586283996210099,0.9570870992466158
4,96,16,64,0.005,1.1804588302344532,0.9591984846673011,0.9532456605924603
4,96,16,128,0.001,0.9309849360389304,0.6789464453816413,0.9653537337854675
4,96,16,128,0.005,1.566589618396896,1.30404016815567,0.7617124669782679
4,96,32,64,0.001,1.0026761819525918,0.7995792463741302,0.9598123577410774
4,96,32,64,0.005,1.0917540721629941,0.922893862530306,0.9523546226025199
4,96,32,128,0.001,0.9492036098691407,0.691628169579506,0.9437585999567027
4,96,32,128,0.005,0.9677639799260133,0.7187992758345604,0.9625622243228196
4,96,64,64,0.001,0.9261425418806588,0.6696435339875222,0.9657132123370714
4,96,64,64,0.005,1.064832843188372,0.8166440652928351,0.9619372334018047
4,96,64,128,0.001,1.054750973837098,0.7711500963423997,0.9437634176561976
4,96,64,128,0.005,1.0434495914590864,0.7825731831448077,0.9322926542240215
4,96,128,64,0.001,1.0817934683179726,0.9102183210821151,0.9532200406377535
4,96,128,64,0.005,0.9271514292128166,0.6502494153571129,0.9656384714733622
4,96,128,128,0.001,0.9825480061280024,0.7254266690626144,0.9614096526441517
4,96,128,128,0.005,0.9593766891638312,0.743490093276322,0.9666366117383511
5,12,16,64,0.001,1.244655744762362,0.9110771592144965,0.8921205126262738
5,12,16,64,0.005,1.2213918890843662,1.003277922967911,0.9220506038992153
5,12,16,128,0.001,1.106158980278642,0.7303467641026973,0.9523428767692336
5,12,16,128,0.005,1.0499617238907093,0.8683186801538466,0.9162300038885666
5,12,32,64,0.001,1.0132382080307492,0.7529853893330096,0.9638874285322974
5,12,32,64,0.005,0.9654584753292651,0.782927640018463,0.9627403879122819
5,12,32,128,0.001,1.0462767138058588,0.8305586035823822,0.943871734118487
5,12,32,128,0.005,1.177843537648747,0.9583810490652325,0.951313680542399
5,12,64,64,0.001,1.1493540603852384,0.9219603768061997,0.9535786833162343
5,12,64,64,0.005,0.9776003518172647,0.7925575266151431,0.9664434612854227
5,12,64,128,0.001,1.047606185084177,0.7824027505674365,0.9614338848726344
5,12,64,128,0.005,1.208933917355308,0.908375728119731,0.9485908501193544
5,12,128,64,0.001,1.0584035400711367,0.7613560389354229,0.9606348098826349
5,12,128,64,0.005,1.3260293901042601,1.1222151877547504,0.9297126078527557
5,12,128,128,0.001,1.223663562263702,0.9956643234591485,0.9243091982621394
5,12,128,128,0.005,0.9443063102686583,0.7013346273632048,0.9686902036214228
5,24,16,64,0.001,1.012483227857006,0.7814946473716684,0.964024452433493
5,24,16,64,0.005,1.4936958206107218,1.2971879214072226,0.908900752332584
5,24,16,128,0.001,0.8266792054190899,0.6872868758153917,0.9760045727990126
5,24,16,128,0.005,1.3470331040597336,1.13047600218606,0.8822467340853057
5,24,32,64,0.001,1.0360426894112553,0.8358647492431404,0.9570931698107622
5,24,32,64,0.005,1.078885200649582,0.8161527648148835,0.941160425824462
5,24,32,128,0.001,1.0562677986572768,0.7672720412101746,0.9275956759047517
5,24,32,128,0.005,1.0609195612492448,0.8632271772942544,0.9452360632287604
5,24,64,64,0.001,1.0624270900746084,0.8356853934279084,0.9384781917022932
5,24,64,64,0.005,1.099979347185852,0.9008104877222778,0.9575161837578233
5,24,64,128,0.001,1.0900260976735048,0.9084308612305522,0.9582473949117195
5,24,64,128,0.005,1.1056959586352284,0.8414952050914765,0.914864278160133
5,24,128,64,0.001,1.1984648426551958,0.9486433421659468,0.9495681318189398
5,24,128,64,0.005,1.0785871318297988,0.8131722836346625,0.9411929331194607
5,24,128,128,0.001,1.0837121475147677,0.7943244102072865,0.9587734296913872
5,24,128,128,0.005,0.9867224592182531,0.861736099576235,0.9658318264447837
5,48,16,64,0.001,1.046099252586143,0.8711717346155646,0.9615959062637522
5,48,16,64,0.005,1.1134785942875196,0.8721827651131153,0.9221630105362074
5,48,16,128,0.001,0.9614270125534236,0.7900019846579134,0.9517013122114053
5,48,16,128,0.005,1.3642588513688358,1.1730705061308146,0.9105863755003684
5,48,32,64,0.001,1.0686862569352704,0.8955485597541332,0.9543467626686072
5,48,32,64,0.005,1.1046492230049103,0.8413680642260911,0.9272356830533937
5,48,32,128,0.001,1.0679340131822361,0.8521639613274039,0.9415240423497346
5,48,32,128,0.005,1.0304389783997236,0.7935709199342729,0.962737130615859
5,48,64,64,0.001,1.1472749348182125,0.9204437447955313,0.9537464792175174
5,48,64,64,0.005,1.1448743966557078,0.9767038921523097,0.9539398368448894
5,48,64,128,0.001,1.1200763938041003,0.8424890077168942,0.9365817376676436
5,48,64,128,0.005,1.0659869589868234,0.8182711796305181,0.9425588887947581
5,48,128,64,0.001,0.9462854199677107,0.7563234926120043,0.9685664362730975
5,48,128,64,0.005,1.1324529910177181,1.0054346576338409,0.9569495354203821
5,48,128,128,0.001,1.3056924900623004,1.079745185341239,0.9138211167793647
5,48,128,128,0.005,0.9052100489625913,0.7118560189294816,0.9571844601131074
5,96,16,64,0.001,1.0120002190860964,0.8215554858999252,0.9477531543183544
5,96,16,64,0.005,0.839880821007245,0.6459123502497671,0.9542225336910855
5,96,16,128,0.001,0.9907356105123384,0.7795586447896957,0.9604795172634801
